dtime,value
1774982363.010598,9.999998612086952e-05
1774982373.135512,9.999994448348658e-05
1774982383.834543,9.9999875087877e-05
1774982394.101682,9.999977793408355e-05
1774982404.548095,9.999965302216608e-05
1774982415.492162,9.999950035220173e-05
1774982425.7864552,9.999931992428466e-05
1774982436.20578,9.999911173852612e-05
1774982447.586307,9.999887579505455e-05
1774982458.142644,9.999861209401547e-05
1774982469.717354,9.999832063557164e-05
1774982480.533587,9.999800141990273e-05
1774982491.2122219,9.999765444720568e-05
1774982502.85111,9.999727971769453e-05
1774982513.526697,9.99968772316004e-05
1774982524.140351,9.999644698917162e-05
1774982534.935928,9.999598899067362e-05
1774982545.63663,9.999550323638882e-05
1774982556.2921119,9.999498972661691e-05
1774982568.03098,9.999444846167466e-05
1774982579.18432,9.999387944189591e-05
1774982589.978111,9.999328266763168e-05
1774982601.089174,9.999265813925009e-05
1774982611.812778,9.999200585713634e-05
1774982623.137541,9.999132582169288e-05
1774982634.251104,9.99906180333391e-05
1774982645.033419,9.998988249251168e-05
1774982656.981457,9.998911919966425e-05
1774982667.740702,9.998832815526771e-05
1774982678.404216,9.998750935980992e-05
1774982690.0610611,9.998666281379615e-05
1774982700.619385,9.998578851774837e-05
1774982711.929739,9.998488647220606e-05
1774982722.764351,9.998395667772561e-05
1774982733.4839501,9.998299913488052e-05
1774982744.556394,9.998201384426146e-05
1774982755.344594,9.99810008064762e-05
1774982766.020007,9.997996002214967e-05
1774982777.611179,9.997889149192383e-05
1774982788.4230661,9.997779521645785e-05
1774982799.795757,9.997667119642794e-05
1774982811.541783,9.997551943252749e-05
1774982822.233141,9.997433992546689e-05
1774982833.1709728,9.997313267597372e-05
1774982844.021261,9.99718976847928e-05
1774982854.745781,9.997063495268584e-05
1774982866.147415,9.996934448043169e-05
1774982876.869844,9.996802626882651e-05
1774982887.487042,9.996668031868338e-05
1774982898.465343,9.996530663083252e-05
1774982909.470811,9.996390520612136e-05
1774982920.0263958,9.996247604541434e-05
1774982931.689549,9.996101914959299e-05
1774982942.329063,9.995953451955607e-05
1774982953.938268,9.995802215621926e-05
1774982965.112702,9.995648206051559e-05
1774982976.3773718,9.995491423339503e-05
1774982987.5566359,9.995331867582467e-05
1774982998.359683,9.995169538878873e-05
1774983009.021836,9.99500443732886e-05
1774983020.835679,9.994836563034265e-05
1774983031.400991,9.994665916098641e-05
1774983042.4341671,9.994492496627246e-05
1774983053.136802,9.994316304727066e-05
1774983063.718472,9.99413734050678e-05
1774983075.194696,9.993955604076778e-05
1774983085.594652,9.99377109554917e-05
1774983096.2339141,9.993583815037775e-05
1774983108.038532,9.993393762658104e-05
1774983118.4619641,9.993200938527395e-05
1774983129.7770581,9.993005342764593e-05
1774983141.3697228,9.992806975490358e-05
1774983152.074435,9.992605836827044e-05
1774983163.4692988,9.992401926898727e-05
1774983174.1672268,9.99219524583119e-05
1774983184.767222,9.991985793751921e-05
1774983195.634943,9.991773570790124e-05
1774983206.377841,9.991558577076704e-05
1774983217.006009,9.991340812744284e-05
1774983228.5323331,9.991120277927188e-05
1774983239.5473049,9.990896972761455e-05
1774983250.160009,9.990670897384834e-05
1774983261.128033,9.990442051936783e-05
1774983271.7912672,9.99021043655845e-05
1774983283.125817,9.98997605139272e-05
1774983293.718816,9.98973889658417e-05
1774983304.0700102,9.98949897227909e-05
1774983315.435272,9.989256278625478e-05
1774983326.785656,9.989010815773035e-05
1774983338.154819,9.988762583873171e-05
1774983350.303241,9.98851158307902e-05
1774983361.7138948,9.988257813545406e-05
1774983373.497474,9.988001275428871e-05
1774983384.671668,9.987741968887658e-05
1774983395.456073,9.98747989408172e-05
1774983406.687903,9.987215051172711e-05
1774983417.665919,9.986947440324006e-05
1774983428.556918,9.986677061700683e-05
