dtime,value
1775049367.203881,9.999861209401552e-05
1775049417.070202,9.999444846167469e-05
1775049468.151871,9.998750935980994e-05
1775049517.914328,9.997779521645778e-05
1775049567.9890969,9.996530663083246e-05
1775049621.7698188,9.99500443732886e-05
1775049674.333935,9.993200938527423e-05
1775049725.17211,9.991120277927232e-05
1775049775.842419,9.988762583873221e-05
1775049826.106333,9.986128001799086e-05
1775049877.502141,9.983216694218247e-05
1775049927.704658,9.980028840713865e-05
1775049978.44766,9.976564637927766e-05
1775050028.565818,9.972824299548303e-05
1775050080.8716989,9.968808056297166e-05
1775050134.412396,9.964516155915149e-05
1775050186.772053,9.959948863146883e-05
1775050239.215731,9.955106459724502e-05
1775050293.398276,9.949989244350258e-05
1775050346.610126,9.944597532678118e-05
1775050400.636051,9.938931657294227e-05
1775050453.4262981,9.932991967696472e-05
1775050506.2834969,9.926778830272903e-05
1775050561.3692532,9.920292628279092e-05
1775050616.2830138,9.91353376181453e-05
1775050672.84218,9.906502647797934e-05
1775050727.304381,9.899199719941553e-05
1775050781.431944,9.891625428724362e-05
1775050836.758973,9.883780241364318e-05
1775050890.375885,9.87566464178955e-05
1775050946.123008,9.867279130608444e-05
1775051000.269155,9.858624225078835e-05
1775051054.032414,9.84970045907608e-05
1775051108.406004,9.840508383060089e-05
1775051161.841208,9.83104856404141e-05
1775051216.718566,9.821321585546245e-05
1775051270.853162,9.811328047580446e-05
1775051324.634878,9.801068566592492e-05
1775051378.285069,9.79054377543551e-05
1775051433.877957,9.779754323328195e-05
1775051489.36114,9.768700875814776e-05
1775051543.096759,9.757384114723952e-05
1775051596.9972632,9.745804738126864e-05
1775051651.238399,9.733963460294014e-05
1775051705.077041,9.72186101165117e-05
1775051759.223327,9.709498138734395e-05
1775051812.444694,9.696875604143918e-05
1775051866.065112,9.683994186497127e-05
1775051920.2767391,9.670854680380534e-05
1775051973.66626,9.65745789630078e-05
1775052028.167584,9.643804660634597e-05
1775052081.3843489,9.629895815577886e-05
1775052135.7724211,9.615732219093736e-05
1775052189.690412,9.601314744859479e-05
1775052243.517129,9.586644282212845e-05
1775052298.223914,9.57172173609707e-05
1775052352.156737,9.556548027005086e-05
1775052406.187528,9.541124090922745e-05
1775052460.442316,9.525450879271093e-05
1775052514.3565152,9.509529358847638e-05
1775052568.98306,9.493360511766745e-05
1775052622.8872619,9.476945335399099e-05
1775052678.981164,9.46028484231007e-05
1775052735.201878,9.443380060197364e-05
1775052792.080429,9.426232031827567e-05
1775052848.449737,9.408841814971845e-05
1775052903.235648,9.391210482340689e-05
1775052957.562953,9.373339121517738e-05
1775053011.809226,9.355228834892716e-05
1775053066.147397,9.336880739593409e-05
1775053120.710578,9.318295967416757e-05
1775053174.822658,9.299475664759053e-05
1775053228.071307,9.280420992545221e-05
1775053282.192239,9.261133126157203e-05
1775053335.094489,9.241613255361436e-05
1775053389.215033,9.221862584235508e-05
1775053442.655235,9.201882331093848e-05
1775053496.588532,9.181673728412588e-05
1775053551.1196978,9.161238022753521e-05
1775053605.0504751,9.140576474687246e-05
1775053659.5914729,9.11969035871537e-05
1775053712.990138,9.098580963191899e-05
1775053766.817153,9.077249590243787e-05
1775053821.0313752,9.055697555690601e-05
1775053874.8285701,9.033926188963345e-05
1775053930.1467211,9.011936833022481e-05
1775053984.2156532,8.989730844275057e-05
1775054038.1706161,8.967309592491052e-05
1775054092.342703,8.944674460718904e-05
1775054145.8419409,8.92182684520015e-05
1775054201.245315,8.898768155283348e-05
1775054255.2312021,8.875499813337092e-05
1775054309.076694,8.852023254662317e-05
1775054363.331302,8.828339927403763e-05
1775054420.100238,8.804451292460601e-05
1775054475.485399,8.780358823396372e-05
1775054529.656888,8.75606400634804e-05
1775054584.1759691,8.731568339934371e-05
1775054638.712731,8.706873335163448e-05
1775054694.6032279,8.68198051533949e-05
1775054751.900269,8.656891415968876e-05
1775054806.472391,8.631607584665446e-05
1775054860.739479,8.60613058105501e-05
1775054916.404324,8.580461976679148e-05
1775054971.773536,8.55460335489829e-05
1775055028.596043,8.528556310794025e-05
1775055083.3911529,8.502322451070739e-05
1775055139.894709,8.475903393956479e-05
1775055196.034652,8.449300769103118e-05
1775055253.935807,8.422516217485873e-05
1775055311.7814982,8.395551391302053e-05
1775055369.118094,8.368407953869163e-05
1775055426.432404,8.341087579522256e-05
1775055481.331042,8.313591953510726e-05
1775055536.064806,8.285922771894311e-05
1775055594.527563,8.258081741438454e-05
1775055650.2777169,8.230070579509066e-05
1775055705.350336,8.201891013966546e-05
1775055760.584537,8.173544783059237e-05
1775055816.962285,8.145033635316193e-05
1775055872.887533,8.116359329439306e-05
1775055928.073459,8.087523634194826e-05
1775055983.755401,8.05852832830426e-05
1775056039.146791,8.029375200334661e-05
1775056093.939081,8.000066048588283e-05
1775056151.767307,7.97060268099166e-05
1775056207.028107,7.9409869149841e-05
1775056263.38868,7.911220577405548e-05
1775056319.413394,7.881305504383919e-05
1775056374.731436,7.851243541221836e-05
1775056430.504559,7.821036542282789e-05
1775056485.9013262,7.790686370876739e-05
1775056541.785164,7.760194899145246e-05
1775056597.36687,7.729564007945909e-05
1775056652.518383,7.698795586736367e-05
1775056709.859164,7.667891533457788e-05
1775056765.5161679,7.63685375441774e-05
1775056820.88592,7.605684164172642e-05
1775056876.471339,7.574384685409642e-05
1775056931.7998312,7.542957248828028e-05
1775056988.424191,7.511403793020111e-05
1775057044.4863691,7.479726264351685e-05
1775057099.951533,7.447926616841929e-05
1775057156.040291,7.416006812042886e-05
1775057211.43232,7.383968818918489e-05
1775057267.997662,7.351814613723054e-05
1775057323.209402,7.319546179879416e-05
1775057379.09335,7.287165507856582e-05
1775057434.881453,7.254674595046918e-05
1775057490.850445,7.222075445642973e-05
1775057547.126164,7.18937007051385e-05
1775057602.874814,7.15656048708112e-05
1775057658.83858,7.123648719194462e-05
1775057714.4221451,7.090636797006741e-05
1775057770.0863428,7.057526756848842e-05
1775057826.6772008,7.024320641103961e-05
1775057881.463912,6.991020498081757e-05
1775057936.860013,6.957628381891886e-05
1775057992.800829,6.924146352317383e-05
1775058048.4111109,6.890576474687541e-05
1775058104.68141,6.856920819750534e-05
1775058159.8233118,6.8231814635457e-05
1775058214.613784,6.789360487275453e-05
1775058270.0709991,6.755459977176922e-05
1775058324.782102,6.721482024393253e-05
1775058381.358171,6.687428724844629e-05
1775058437.2398279,6.653302179098961e-05
1775058493.985557,6.619104492242352e-05
1775058550.009608,6.584837773749213e-05
1775058605.334508,6.550504137352142e-05
1775058662.34068,6.516105700911566e-05
1775058718.712374,6.48164458628507e-05
1775058776.1827798,6.447122919196539e-05
1775058832.6791859,6.412542829105006e-05
1775058890.23944,6.377906449073301e-05
1775058947.076489,6.343215915636516e-05
1775059002.4333901,6.30847336867015e-05
1775059056.796309,6.273680951258155e-05
1775059111.4430988,6.238840809560722e-05
1775059165.896368,6.203955092681909e-05
1775059221.008209,6.169025952537055e-05
1775059275.260582,6.134055543720054e-05
1775059329.7236018,6.099046023370444e-05
1775059384.411909,6.063999551040322e-05
1775059439.795203,6.0289182885612136e-05
1775059495.3665159,5.99380439991064e-05
1775059551.13586,5.9586600510786546e-05
1775059607.052504,5.923487409934236e-05
1775059662.228565,5.8882886460915696e-05
1775059716.750108,5.853065930776207e-05
1775059771.988151,5.8178214366911474e-05
1775059828.647543,5.782557337882801e-05
1775059884.6044009,5.747275809606893e-05
1775059939.481227,5.7119790281942724e-05
1775059994.100065,5.676669170916682e-05
1775060051.9400241,5.641348415852444e-05
1775060108.9684758,5.606018941752103e-05
1775060163.561326,5.5706829279040455e-05
1775060219.6364539,5.535342554000043e-05
1775060277.53874,5.5000000000008344e-05
1775060334.9522848,5.46465744600163e-05
1775060391.075936,5.429317072097629e-05
