dtime,value
1775160783.583522,0.73
1775160862.3711722,1.14
1775160945.4365819,1.56
1775161031.622426,1.83
1775161257.619751,0.29
1775161266.032969,0.17
1775161274.88674,0.27
1775161283.2651432,0.24
1775161337.61457,0.16
1775161345.467007,0.22
1775161933.118475,0.3
1775162004.539519,0.2
1775162076.362108,0.42
1775162323.8059058,0.22
1775162393.9857988,0.29
1775162607.295778,0.25
1775162679.5346859,0.29
1775162765.305836,0.33
1775164232.516445,0.24
1775164361.589184,0.28
1775164488.28704,0.38
1775164612.6131608,0.17
1775164738.608494,0.32
1775164862.686234,0.32
1775164985.5093682,0.25
1775165108.5376651,0.3
1775165229.09449,0.14
1775165347.9531531,0.28
1775165469.094686,0.17
1775165591.2457001,0.33
1775165713.759659,0.34
1775165835.2338638,0.24
1775165957.101512,0.35
1775166079.156123,0.32
1775166200.8118882,0.28
1775166324.581095,0.3
1775166448.271137,0.21
1775166572.75101,0.33
1775166694.812108,0.12
1775166818.8527832,0.28
1775166943.369119,0.35
1775167068.304991,0.38
1775167192.503571,0.26
1775167317.5922382,0.37
1775167442.906971,0.3
1775167575.0987399,0.37
1775167703.762021,0.34
1775167832.1119812,0.4
1775167956.242443,0.24
1775168080.361875,0.34
1775168204.038931,0.27
1775168326.5221639,0.24
1775168442.503222,0.16
1775168568.766168,0.33
1775168692.456059,0.25
1775168815.601238,0.24
1775168939.6084921,0.32
1775169063.434479,0.32
1775169187.9976819,0.38
1775169311.6942148,0.27
1775169434.7517881,0.19
1775169558.7985432,0.33
1775169684.762513,0.11
1775169814.478535,0.34
1775169939.117832,0.34
1775170062.8643148,0.26
1775170186.852202,0.27
1775170310.7406259,0.29
1775170433.230916,0.28
1775170557.746112,0.29
1775170682.821866,0.23
1775170807.3995368,0.35
1775170931.1952431,0.28
1775171055.589334,0.35
1775171179.494581,0.29
1775171299.04865,0.26
1775171416.447118,0.33
1775171540.682376,0.32
1775171664.6020539,0.24
1775171789.460201,0.37
1775171913.255321,0.26
1775172037.3295748,0.29
1775172408.805054,0.32
1775172535.447885,0.26
1775172660.411736,0.18
1775172786.638429,0.36
1775172912.381664,0.27
1775173037.586638,0.3
1775173162.1824691,0.22
1775173287.1119602,0.25
1775173411.5461938,0.2
1775173536.0049129,0.27
1775173660.7634492,0.27
1775173783.91116,0.25
1775173908.2523258,0.23
1775174037.048338,0.23
1775174161.770695,0.2
1775174287.0749319,0.36
1775174412.166582,0.32
1775174535.7725492,0.26
1775174653.873512,0.34
1775174774.4588501,0.32
1775174898.9287848,0.28
1775175021.977901,0.21
1775175145.57048,0.21
1775175269.5062468,0.28
1775175394.066676,0.31
1775175518.010964,0.28
1775175641.590601,0.26
1775175765.193374,0.24
1775175889.197681,0.27
1775176013.771185,0.39
1775176138.7643929,0.39
1775176262.7168388,0.29
1775176387.78849,0.34
1775176511.197459,0.21
1775176635.793493,0.33
1775176760.386185,0.37
1775176884.94325,0.26
1775177010.038454,0.28
