dtime,value
1775163835.006484,True
1775163955.418762,True
1775163962.837387,True
1775163970.32646,True
1775164232.516819,True
1775164361.5898292,True
1775164488.287174,True
1775164612.613288,True
1775164738.60864,True
1775164862.686358,True
1775164985.509842,True
1775165108.538135,True
1775165229.094846,True
1775165347.953564,True
1775165469.094812,True
1775165591.245821,True
1775165713.7597802,True
1775165835.233991,True
1775165957.1016371,True
1775166079.156251,True
1775166200.8120131,True
1775166324.5812328,True
1775166448.271616,True
1775166572.7511199,True
1775166694.812665,True
1775166818.853328,True
1775166943.3692632,True
1775167068.305473,True
1775167192.504101,True
1775167317.592761,True
1775167442.9070919,True
1775167575.099287,True
1775167703.762431,True
1775167832.112109,True
1775167956.2429461,True
1775168080.3623219,True
1775168204.0390441,True
1775168326.522275,True
1775168442.503569,True
1775168568.7663932,True
1775168692.456175,True
1775168815.601325,True
1775168939.608608,True
1775169063.4345798,True
1775169187.9978712,True
1775169311.694335,True
1775169434.751904,True
1775169558.798861,True
1775169684.762646,True
1775169814.478677,True
1775169939.117952,True
1775170062.864453,True
1775170186.852314,True
1775170310.740722,True
1775170433.231429,True
1775170557.7464252,True
1775170682.821985,True
1775170807.399638,True
1775170931.195382,True
1775171055.589439,True
1775171179.494712,True
1775171299.049047,True
1775171416.447256,True
1775171540.682515,True
1775171664.60218,True
1775171789.460333,True
1775171913.255431,True
1775172037.329695,True
1775172408.805391,True
1775172535.447993,True
1775172660.4118578,True
1775172786.638904,True
1775172912.382167,True
1775173037.5867589,True
1775173162.18259,True
1775173287.112302,True
1775173411.546299,True
1775173536.005385,True
1775173660.7639759,True
1775173783.911746,True
1775173908.2528021,True
1775174037.048457,True
1775174161.7708192,True
1775174287.0750642,True
1775174412.166703,True
1775174535.772676,True
1775174653.87362,True
1775174774.4589498,True
1775174898.9288971,True
1775175021.9780118,True
1775175145.570591,True
1775175269.5063832,True
1775175394.067265,True
1775175518.0114691,True
1775175641.591454,True
1775175765.193703,True
1775175889.198164,True
1775176013.7716491,True
1775176138.764962,True
1775176262.71696,True
1775176387.7886112,True
1775176511.197899,True
1775176635.794076,True
1775176760.386534,True
1775176884.943871,True
1775177010.038568,True
1775211216.691044,True
1775211348.36518,True
1775211475.379324,True
1775211601.421961,True
1775211730.443255,True
1775211858.0924668,True
1775211984.016001,True
1775212110.358411,True
1775212232.540763,True
1775212355.319809,True
1775212476.432265,True
1775212599.73439,True
1775212722.317433,True
1775212845.086386,True
1775212968.590989,True
1775213098.01329,True
1775213522.792223,True
1775213650.871489,True
1775213776.82245,True
1775213906.277893,True
1775214032.166089,True
1775214157.670866,True
1775214284.339836,True
1775214411.6515148,True
1775214536.78552,True
1775214661.8731441,True
1775214784.196413,True
1775214903.553299,True
1775215022.264195,True
1775215143.830775,True
1775215269.063963,True
1775215393.716015,True
1775215519.547147,True
1775215644.266761,True
1775215770.396611,True
1775215896.021947,True
1775216021.182492,True
1775216146.635533,True
1775216272.171081,True
1775216397.198076,True
1775216522.357763,True
1775216647.015446,True
1775216772.027207,True
1775216896.521259,True
1775217020.867975,True
1775217149.969957,True
1775217276.604291,True
