dtime,value
1775159765.210123,56
1775160110.488616,56
1775160714.094862,56
1775160720.470913,120
1775160726.694009,184
1775160733.319049,248
1775160739.732192,312
1775160745.757083,368
1775160751.932162,432
1775160758.0850601,496
1775160764.1655161,560
1775160783.583276,624
1775160789.898852,680
1775160796.20573,744
1775160802.625839,808
1775160808.942077,872
1775160814.98752,936
1775160820.7503119,992
1775160826.986424,1056
1775160833.4750578,1120
1775160839.7771251,1184
1775160862.3710861,1248
1775160868.7701771,1312
1775160874.954416,1368
1775160881.246023,1432
1775160887.424331,1496
1775160893.4872901,1560
1775160899.698271,1624
1775160905.503453,1680
1775160911.780878,1744
1775160917.955818,1808
1775160945.436495,1872
1775160952.06061,1936
1775160958.4161122,1992
1775160964.940119,2056
1775160971.1791282,2120
1775160977.12447,2184
1775160983.064186,2248
1775160989.1238232,2312
1775160994.968798,2368
1775161001.217122,2432
1775161031.622344,2496
1775161037.8874502,2560
1775161043.8021262,2624
1775161049.6246421,2680
1775161056.364495,2744
1775161062.747655,2808
1775161068.831121,2872
1775161075.068688,2936
1775161080.989305,2992
1775161087.1375291,3056
1775161866.364906,56
1775161873.036234,120
1775161879.476901,184
1775161885.67111,248
1775161892.158572,312
1775161898.0884612,368
1775161904.212842,432
1775161910.6423838,496
1775161916.9675379,560
1775161933.118399,624
1775161939.309162,680
1775161945.7785861,744
1775161952.379793,808
1775161958.630877,872
1775161964.928683,936
1775161970.8714728,992
1775161977.179921,1056
1775161983.4034472,1120
1775161989.7303581,1184
1775162004.5394208,1248
1775162011.072713,1312
1775162017.320571,1368
1775162023.3487191,1432
1775162029.3470862,1496
1775162035.5206919,1560
1775162041.575428,1624
1775162047.343359,1680
1775162053.52498,1744
1775162059.938893,1808
1775162076.36204,1872
1775162082.397832,1936
1775162088.1347399,1992
1775162094.27012,2056
1775162100.978327,2120
1775162257.408139,56
1775162263.8255749,120
1775162270.204714,184
1775162276.653883,248
1775162283.147258,312
1775162289.198355,368
1775162295.583384,432
1775162301.8793888,496
1775162308.5250182,560
1775162323.8058171,624
1775162329.814205,680
1775162336.020263,744
1775162342.4208488,808
1775162348.488951,872
1775162355.029162,936
1775162360.73437,992
1775162366.7671528,1056
1775162372.826729,1120
1775162378.874209,1184
1775162393.985703,1248
1775162400.576812,1312
1775162406.3523,1368
1775162412.7214808,1432
1775162542.0916638,56
1775162548.61274,120
1775162555.059042,184
1775162561.630016,248
1775162568.1030452,312
1775162573.9909492,368
1775162580.163438,432
1775162586.316331,496
1775162592.4616718,560
1775162607.295611,624
1775162613.775244,680
1775162620.2570639,744
1775162627.041003,808
1775162633.606684,872
1775162639.6346948,936
1775162645.3881369,992
1775162651.5594282,1056
1775162657.854431,1120
1775162664.430431,1184
1775162679.5345721,1248
1775162698.831573,56
1775162705.103105,120
1775162711.265363,184
1775162717.501358,248
1775162723.928532,312
1775162729.7565892,368
1775162735.8642209,432
1775162741.959362,496
1775162748.056509,560
1775162765.3057458,624
1775162771.697713,680
1775162777.969336,744
1775162784.5515862,808
1775163802.133868,8
1775163802.8310819,16
1775163803.500669,24
1775163835.0061529,56
1775163955.4183722,56
1775163962.837281,120
1775163970.326336,184
