dtime,value
1775159765.2096682,-0.0034614347823662683
1775160110.4877598,-0.002693103946512565
1775160714.094021,-0.002352877054363489
1775160720.470665,-0.0036549627839121968
1775160726.693753,-0.0013632670743390918
1775160733.3188312,-0.007507768794312142
1775160739.73193,-0.010565434786258265
1775160745.756871,-0.009622044715797529
1775160751.931484,-0.008653251512441784
1775160758.08481,-0.011412566265789792
1775160764.165306,-0.006882722387672402
1775160783.5823538,-0.012768963730195537
1775160789.898581,-0.014345322386361659
1775160796.205473,-0.014266426675021648
1775160802.6255832,-0.013612774899229407
1775160808.941818,-0.01539393978600856
1775160814.9872582,-0.016370161625673063
1775160820.750054,-0.01349818795279134
1775160826.986162,-0.011448537916294299
1775160833.474782,-0.014683106710435823
1775160839.77688,-0.014822962111793458
1775160862.3707929,-0.013045027444604784
1775160868.769917,-0.014656770828878507
1775160874.954149,-0.015852798969717696
1775160881.245758,-0.015316117904148996
1775160887.4240582,-0.01739410898881033
1775160893.487063,-0.017903810818097554
1775160899.698005,-0.013962699304101989
1775160905.503229,-0.017049572736141272
1775160911.7805939,-0.01681708643445745
1775160917.955582,-0.013847521011484787
1775160945.436239,-0.02052392068435438
1775160952.060333,-0.02032853226410225
1775160958.41569,-0.014666634640889242
1775160964.939883,-0.01584316766820848
1775160971.1788642,-0.02120384297450073
1775160977.124201,-0.019430463609751314
1775160983.063981,-0.019055336830206215
1775160989.1235368,-0.018578999559395015
1775160994.9685571,-0.016059720030170865
1775161001.216848,-0.0188357797160279
1775161031.62204,-0.02032742786104791
1775161037.8871849,-0.017159865179564804
1775161043.801909,-0.015651343623176217
1775161049.6243331,-0.019191908140783198
1775161056.36427,-0.01759499020408839
1775161062.747317,-0.01963033084757626
1775161068.830852,-0.019692422210937366
1775161075.068479,-0.018762859952403232
1775161080.989046,-0.0180990673834458
1775161087.137284,-0.021165462385397404
1775161866.363536,-0.0005538685654755682
1775161873.035512,-0.0031890771933831275
1775161879.476588,-0.0020313315908424556
1775161885.6708338,-0.0034921676124213263
1775161892.158358,-0.005590376007603481
1775161898.088185,-0.009905452345265076
1775161904.212595,-0.010151790178497322
1775161910.642111,-0.01237014788785018
1775161916.967251,-0.01047811379248742
1775161933.1181262,-0.013206043600803241
1775161939.30889,-0.01230068774020765
1775161945.778332,-0.010102533793542534
1775161952.3795578,-0.012483194295782596
1775161958.630602,-0.013279737235279754
1775161964.928442,-0.008926537586376071
1775161970.871211,-0.012987086811335757
1775161977.1796439,-0.008751407251111232
1775161983.403223,-0.011563540057977661
1775161989.730099,-0.01703084711334668
1775162004.5391202,-0.015995557769201696
1775162011.0723672,-0.017393433998222463
1775162017.320297,-0.0153495730337454
1775162023.348476,-0.00970206010970287
1775162029.3468301,-0.014958316256524995
1775162035.520459,-0.016880387935088947
1775162041.5751739,-0.014227763924282044
1775162047.3430872,-0.018135636259103194
1775162053.524744,-0.013833042336045764
1775162059.938609,-0.020626603305572644
1775162076.3618078,-0.015075137096573599
1775162082.39755,-0.020639291120460257
1775162088.134471,-0.01671830445411615
1775162094.269881,-0.017595424666069448
1775162100.9780521,-0.01794803375378251
1775162257.407268,-0.0010093697346746922
1775162263.825326,-0.002435996342683211
1775162270.204439,-0.0030014321964699775
1775162276.653663,-0.002459030074533075
1775162283.146981,-0.003963436451158486
1775162289.19809,-0.007661955591174774
1775162295.582593,-0.01066927140345797
1775162301.8791099,-0.012013172556180507
1775162308.524344,-0.009655698740971275
1775162323.805485,-0.012159041129052639
1775162329.8139489,-0.012763416190864518
1775162336.020024,-0.015202136215521023
1775162342.420576,-0.015594239710480906
1775162348.4886642,-0.012556679721456021
1775162355.028874,-0.01463435051846318
1775162360.734078,-0.0158595064713154
1775162366.766926,-0.014978959399741143
1775162372.8263931,-0.01613133540377021
1775162378.8739,-0.018324325646972284
1775162393.985402,-0.016779120021965355
1775162400.576514,-0.018919477210147306
1775162406.352013,-0.018670238117920235
1775162412.721238,-0.02007848057837691
1775162542.090867,-0.0013154348271200433
1775162548.612458,-0.002400974241027143
1775162555.058778,-0.00374084290524479
1775162561.629728,-0.004973990784492344
1775162568.102769,-0.0028584368847077712
1775162573.990648,-0.00370420262333937
1775162580.163148,-0.007530322211096063
1775162586.3160372,-0.009957751564797945
1775162592.46138,-0.009228087976225652
1775162607.2949498,-0.009561476646922529
1775162613.774376,-0.011522967339260504
1775162620.256772,-0.012706229768809862
1775162627.040721,-0.011774723243433982
1775162633.606377,-0.0146532825747272
1775162639.634403,-0.014044062467291951
1775162645.387879,-0.009455356368562207
1775162651.559123,-0.013917623786255717
1775162657.8541272,-0.011443032388342544
1775162664.430163,-0.014851734653348103
1775162679.534254,-0.011676286754664034
1775162698.831216,-0.001854760485002771
1775162705.102798,-0.0022005965874996036
1775162711.265075,-0.004251066828146577
1775162717.501049,-0.005063585515017621
1775162723.928301,-0.005274778348393738
1775162729.756315,-0.007161392131820321
1775162735.863966,-0.005402777504059486
1775162741.959069,-0.009817293990636244
1775162748.0562189,-0.011755201514461078
1775162765.305423,-0.012385159934638068
1775162771.6974132,-0.011619311320828274
1775162777.969047,-0.012850501778302714
1775162784.551339,-0.013185401912778616
1775163802.132927,-0.0009561628903611563
1775163802.83083,-0.0030151421815389767
1775163803.5004191,-0.001371188453049399
1775163835.005248,-0.0016021831252146512
1775163955.4168699,-0.000299365958198905
1775163962.837037,-0.001208029076224193
1775163970.326048,-0.004193988657789305
1775164106.402807,-0.0022358138376148418
1775164113.007914,-0.00371721014380455
1775164119.651307,-0.002512610823032446
1775164126.2447228,-0.002655619173310697
